relocating_to,nationality,visa_status,income_range,family_relocating,general,general_Family,general_visa_work,ZAV,visa_work,Visa_family,RP_work,RP_Family,RP_change,Registration
DE-STUTTGART,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,valid rp,0-30.000,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,valid rp,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,valid rp,0-30.000,Yes,1,1,,,,,,,1,
